"","year","quarter","qMen","qWomen","qpopMen","qpopWomen"
"1",1979,1,4.06785815062951,5.4469364878213,47.4474510046458,52.5525489953542
"2",1979,2,2.96894314234627,4.66487563398079,47.5225519360234,52.4774480639766
"3",1979,3,3.11773340939334,5.11505137482816,47.4640896352003,52.5359103647997
"4",1979,4,3.17670726752559,4.81634782042719,47.5831716145365,52.4168283854635
"5",1980,1,4.41922939688425,5.24095590657421,47.402239971217,52.597760028783
"6",1980,2,5.15435967612728,4.990635504892,47.6750533373003,52.3249466626997
"7",1980,3,5.08260832336402,6.22162910548219,47.847426792982,52.152573207018
"8",1980,4,4.79365815155764,5.87870844155192,47.7535582749702,52.2464417250298
"9",1981,1,5.68481004301902,6.29303256556011,47.6925492055188,52.3074507944812
"10",1981,2,4.82159567447215,5.51390209442365,47.7075489829789,52.2924510170211
"11",1981,3,4.66681641424854,6.30369510815255,47.7727961224711,52.2272038775289
"12",1981,4,5.73179242503156,6.29201131564147,47.45393807364,52.54606192636
"13",1982,1,7.52235559633798,6.95326346378709,47.6645870608684,52.3354129391316
"14",1982,2,7.22997500224095,7.0420553345469,47.7216086936931,52.2783913063069
"15",1982,3,7.52379603998003,7.89001346546133,47.5817777468559,52.4182222531441
"16",1982,4,8.16584407072711,7.95945528936203,47.4170703020136,52.5829296979864
"17",1983,1,9.41867200687583,8.18035870302916,47.7465164870177,52.2534835129823
"18",1983,2,8.49456213656553,7.25209150985183,47.8320816257013,52.1679183742987
"19",1983,3,7.25601198577185,7.68966074593825,47.747696691639,52.252303308361
"20",1983,4,6.66000193824743,6.57173059236011,47.8624912454968,52.1375087545032
"21",1984,1,6.98594113962427,6.44709598192198,47.6410829764219,52.3589170235781
"22",1984,2,5.71268964073082,5.87433166783441,47.5700719224671,52.4299280775329
"23",1984,3,5.28166492442049,6.3850130383923,47.7396684578534,52.2603315421466
"24",1984,4,5.34516178074844,5.93082087589807,47.8279896699928,52.1720103300072
"25",1985,1,6.32530326346051,6.41550490302197,47.5898915663814,52.4101084336186
"26",1985,2,5.44434377534406,5.86753360921676,47.5923752092034,52.4076247907966
"27",1985,3,5.12585881604396,6.51216933703633,47.7792182212172,52.2207817787828
"28",1985,4,4.99296471279279,5.68096911689066,47.8352189026421,52.1647810973579
"29",1986,1,6.22328673164821,5.99748472726221,47.6533328311196,52.3466671688804
"30",1986,2,5.58148705351106,5.57518718909312,47.6480643596285,52.3519356403715
"31",1986,3,5.11413667821518,5.91126445636103,47.6415826926504,52.3584173073496
"32",1986,4,5.34832855988154,5.25937467602159,47.6529153691386,52.3470846308614
"33",1987,1,6.00967726318749,5.08898861903223,47.4837421919855,52.5162578080145
"34",1987,2,4.83223449567521,4.67044735487001,47.7361155192882,52.2638844807118
"35",1987,3,4.36650913242,4.96767364213958,47.7158403062712,52.2841596937288
"36",1987,4,4.34957796630076,4.55430561056847,47.5248747410704,52.4751252589296
"37",1988,1,5.09453184201851,4.61368953311614,47.6563940927965,52.3436059072035
"38",1988,2,4.16612663490055,4.21566411496475,47.8190536416492,52.1809463583508
"39",1988,3,3.93773518532561,4.80471788494334,47.923227046121,52.076772953879
"40",1988,4,4.21368428791833,4.10176230813938,47.7210106464139,52.2789893535861
"41",1989,1,4.89489048910159,4.21323359788965,47.952555976414,52.047444023586
"42",1989,2,3.82339654292498,3.96630103441105,48.2190241605849,51.7809758394151
"43",1989,3,3.43338223741063,4.88508160830052,48.2577843886876,51.7422156113124
"44",1989,4,3.79459518772801,4.11607874591092,47.9995118848707,52.0004881151293
"45",1990,1,5.11630118347274,4.39445575849495,47.799580751899,52.200419248101
"46",1990,2,4.04009968457458,4.15262800771956,48.1302532271466,51.8697467728534
"47",1990,3,4.17533110196757,4.76969120000001,48.2305732516976,51.7694267483024
"48",1990,4,4.74346703541929,4.39453112570103,48.0706165350657,51.9293834649343
"49",1991,1,6.49530921675529,5.33686801606001,47.808911090824,52.191088909176
"50",1991,2,5.66156547294683,4.98498978297889,47.9988649710953,52.0011350289047
"51",1991,3,5.1777274931889,5.37324031277315,48.1732044923256,51.8267955076744
"52",1991,4,5.68201487530811,5.16756549289815,47.8855989817365,52.1144010182635
"53",1992,1,7.46367517515335,6.06135712857638,47.8698749542717,52.1301250457283
"54",1992,2,6.63201387785267,5.62052876927438,48.0488867188031,51.9511132811969
"55",1992,3,6.01912211900672,6.24407525218357,48.1538480536517,51.8461519463483
"56",1992,4,5.9746310742985,5.77644458546301,47.888061818468,52.111938181532
"57",1993,1,7.0811960774949,5.83437003792992,47.9245595026827,52.0754404973173
"58",1993,2,5.95038828714833,5.36327089361511,47.8365435029978,52.1634564970022
"59",1993,3,5.52908855133819,5.88030510416382,47.9863503821099,52.0136496178901
"60",1993,4,5.24073280992271,5.40918407477326,48.0874741136113,51.9125258863887
"61",1994,1,5.89621209791708,5.55396851662224,47.9022884842156,52.0977115157844
"62",1994,2,4.94364574974185,4.98709581605577,47.9214256971285,52.0785743028715
"63",1994,3,4.10218772711746,5.10409548012015,47.8191077102858,52.1808922897142
"64",1994,4,4.21671795924495,4.16099383765854,48.0034285744978,51.9965714255022
"65",1995,1,4.75242094627784,4.55374304970035,48.0895309762517,51.9104690237483
"66",1995,2,4.3262099698453,4.02571723203488,48.0707887111204,51.9292112888796
"67",1995,3,3.69689120930572,4.83856265915919,47.772397945614,52.227602054386
"68",1995,4,4.10477734460644,3.8569745859121,47.7996383748389,52.2003616251611
"69",1996,1,4.7258710414916,4.56325895861506,48.1336103492241,51.8663896507759
"70",1996,2,4.05182840938603,3.96702939141806,47.9507183296001,52.0492816703999
"71",1996,3,3.46471384892493,4.44792561799615,47.9582251971342,52.0417748028658
"72",1996,4,3.6589723514107,4.04647246236783,47.8559617582821,52.1440382417179
"73",1997,1,4.58896590842946,4.32387953839039,48.0628298126577,51.9371701873423
"74",1997,2,3.48649378778054,3.65132982091066,48.0059589784973,51.9940410215027
"75",1997,3,3.10468840438474,4.27280791830408,48.2493423981429,51.7506576018571
"76",1997,4,3.17385599889576,3.35297932345229,48.1648154485817,51.8351845514183
"77",1998,1,3.66019428365277,4.07943018145743,48.2586319387373,51.7413680612627
"78",1998,2,3.01441787400671,3.19203639978531,48.0491449607025,51.9508550392975
"79",1998,3,3.09614334030576,3.66111652732108,48.2804930275452,51.7195069724548
"80",1998,4,2.78637376573253,3.15739702869946,48.0060741224102,51.9939258775898
"81",1999,1,3.5101052291502,3.49822803985003,48.3041404347552,51.6958595652448
"82",1999,2,2.91891346404399,3.17479545541649,48.0387810341579,51.9612189658421
"83",1999,3,2.56545736835734,3.4989667247302,48.3396578146862,51.6603421853138
"84",1999,4,2.72206217015048,2.85069257331081,48.0690810314477,51.9309189685523
"85",2000,1,3.24367693978798,3.05966496659798,48.4022483813941,51.5977516186059
"86",2000,2,2.54160693603194,3.15691565680624,48.2851862102191,51.7148137897809
"87",2000,3,2.50542025386825,3.50819048291726,48.5335073317877,51.4664926682123
"88",2000,4,2.65599211715691,2.73694656714044,48.1726679099353,51.8273320900647
"89",2001,1,3.65694402622092,3.4629281665276,48.3937147611552,51.6062852388448
"90",2001,2,2.95603921756021,3.22232429470702,48.1003232239503,51.8996767760497
"91",2001,3,3.23202033387762,3.79914445609531,48.2805243658247,51.7194756341753
"92",2001,4,3.88761186655847,4.1691217036157,48.415628251959,51.584371748041
"93",2002,1,5.27008353398389,4.60905783315474,48.3357087966802,51.6642912033198
"94",2002,2,4.85782338334376,4.40606812445214,48.2303580404109,51.7696419595891
"95",2002,3,4.10626265395079,4.79846274493238,48.1260131196968,51.8739868803032
"96",2002,4,4.60126128759528,4.44244286200792,48.2877611280723,51.7122388719277
"97",2003,1,5.61763661411401,4.28079875962612,48.2195654278092,51.7804345721908
"98",2003,2,5.24016485213105,4.4114876829573,48.2958042838191,51.7041957161809
"99",2003,3,4.68259569523683,4.60454146572015,47.9489698445596,52.0510301554404
"100",2003,4,4.46441159148834,4.51712429340964,48.1810503693309,51.8189496306691
"101",2004,1,5.3409465671362,4.51707422841537,48.2048978242878,51.7951021757122
"102",2004,2,4.2226667733309,4.21081756128635,48.1014812648138,51.8985187351862
"103",2004,3,3.83592919060032,4.63699998111237,48.2588571679037,51.7411428320963
"104",2004,4,4.05551191632775,3.96452989991556,48.3436703844042,51.6563296155958
"105",2005,1,4.67503415766928,4.10725553663864,48.2260511476841,51.7739488523159
"106",2005,2,3.4612578760564,3.92171164390709,48.1223731941886,51.8776268058114
"107",2005,3,3.35711628679001,4.40748116023172,48.0874184658038,51.9125815341962
"108",2005,4,3.28028175757336,3.87694439655095,48.3592929166965,51.6407070833035
"109",2006,1,4.05508187208997,3.90023480243001,48.366332063549,51.633667936451
"110",2006,2,3.47904895661934,3.59052989606703,48.2636385544891,51.7363614455109
"111",2006,3,2.90418814839323,3.7563346918773,48.3607276393472,51.6392723606528
"112",2006,4,2.90661629625473,3.31226642789045,48.3929122697028,51.6070877302972
"113",2007,1,4.20965492744594,3.78567876573315,48.2647180810754,51.7352819189246
"114",2007,2,3.35826039110179,3.24377811235206,48.4365133855996,51.5634866144004
"115",2007,3,3.09339021488666,3.69116980299909,48.2066237855024,51.7933762144976
"116",2007,4,3.37090748784983,3.59485315848421,48.4219772096451,51.5780227903549
"117",2008,1,4.49736523464959,3.71931163094898,48.228954127428,51.771045872572
"118",2008,2,3.98492640045406,3.88967653625391,48.4532581741596,51.5467418258404
"119",2008,3,4.38476568629614,4.65336413639622,48.5080869840981,51.4919130159019
"120",2008,4,5.51474488974462,4.92705056136142,48.5583061530663,51.4416938469337
"121",2009,1,8.80316742325176,6.40099685509794,48.3683073338169,51.6316926661831
"122",2009,2,8.82009064362065,6.51360120981403,48.3698193588846,51.6301806411154
"123",2009,3,8.57575010721838,7.28337180476313,48.4888566786692,51.5111433213308
"124",2009,4,9.06705740921652,7.22832534847044,48.68202491709,51.31797508291
"125",2010,1,10.3661460933245,7.2991406731346,48.4025404607249,51.5974595392751
"126",2010,2,9.0254604190938,6.89010190219697,48.4941542992092,51.5058457007908
"127",2010,3,8.08553495573009,7.93453668865576,48.2404804986501,51.7595195013499
"128",2010,4,8.30708519118614,7.2120484630729,48.4460050447372,51.5539949552628
"129",2011,1,9.04691268009594,7.23719836480546,48.4733773945918,51.5266226054082
"130",2011,2,7.68960515386224,7.09549645085128,48.3009600343008,51.6990399656992
"131",2011,3,7.64643141781501,7.42274333241807,48.0966460886047,51.9033539113953
"132",2011,4,7.19280958148955,6.9534512877995,48.1062046039845,51.8937953960155
"133",2012,1,7.60057166688509,6.85916568009625,48.4914746605995,51.5085253394005
"134",2012,2,6.56266125043955,6.51486013428496,48.2521165391199,51.7478834608801
"135",2012,3,6.37915348519498,6.78677411089767,48.3528343763975,51.6471656236025
"136",2012,4,6.20266647100191,5.95527539429604,48.3067199549111,51.6932800450889
"137",2013,1,7.15227375418586,6.38033373153732,48.3671359781813,51.6328640218187
"138",2013,2,5.87175790453622,5.63762683251924,48.1424423199061,51.8575576800939
"139",2013,3,5.88025564777416,6.1999516035256,48.2777385322243,51.7222614677757
"140",2013,4,5.68615601375563,5.38508032634186,48.1310088486989,51.8689911513011
"141",2014,1,5.91083966856535,5.33956075605454,48.4049299061272,51.5950700938728
"142",2014,2,4.85846642304137,4.52336128082661,48.088385158663,51.911614841337
"143",2014,3,4.34533270140841,5.47447091318423,48.2249556072742,51.7750443927258
"144",2014,4,4.25501273826943,4.47560400510247,48.3250675407115,51.6749324592885
"145",2015,1,5.09120618469699,4.20296543436434,48.3223730062986,51.6776269937014
"146",2015,2,4.04173883009025,4.38440973505186,48.1209690606836,51.8790309393164
"147",2015,3,3.77847924713448,4.4354247695997,48.2489352127584,51.7510647872416
"148",2015,4,3.73452808110203,3.93567907434796,48.2109463007278,51.7890536992722
"149",2016,1,4.50166424183295,4.13089900890796,48.099854032309,51.900145967691
"150",2016,2,3.73055850561057,3.99289810244895,48.1644622341941,51.8355377658059
"151",2016,3,3.63374973878844,4.18848973307346,48.368470256937,51.631529743063
"152",2016,4,3.62825485619253,3.66494755890306,48.3655863447471,51.6344136552529
"153",2017,1,4.23423906289751,3.9959749953311,48.053097578086,51.946902421914
"154",2017,2,3.10252317852649,3.54740027882631,48.1712671491631,51.8287328508369
"155",2017,3,3.21449957281788,3.88129033306281,47.9986387089145,52.0013612910855
"156",2017,4,3.15994969757775,3.20684607769694,48.1075238103657,51.8924761896343
"157",2018,1,3.66763789554963,3.34579884078237,48.0941978205458,51.9058021794542
"158",2018,2,3.05686736665073,3.03661659440581,48.2897708800695,51.7102291199305
"159",2018,3,2.62910303796826,3.2695268858684,48.2927713572744,51.7072286427256
"160",2018,4,2.91040531999233,2.64905843103856,48.2174115776071,51.7825884223929
